Sum of population_male,Sum of population_female,Sum of population_total,Sex ratio,Sum of state_code,state_name,Sum,,,,,
9541688,8293361,17835049,26482,696,GUJARAT,35697276,,,,,
9192368,8979247,18171615,41975,1176,ANDHRA PRADESH,36386381,,,,,
8112840,7687056,15799896,25665,754,KARNATAKA,31626211,,,,,
5761143,5261948,11023091,29274,736,MADHYA PRADESH,22076192,,,,,
3558722,3155794,6714516,23085,260,BIHAR,13452377,,,,,
3181968,2770255,5952223,17516,120,HARYANA,11922082,,,,,
2247819,2030440,4278259,9030,200,JHARKHAND,8565748,,,,,
1612019,1525899,3137918,8552,198,CHHATTISGARH,6284586,,,,,
1335615,1420358,2755973,7467,224,KERALA,5519637,,,,,
953292,851695,1804987,2723,3,JAMMU & KASHMIR,3612700,,,,,
720132,671022,1391154,3803,72,ASSAM,2786183,,,,,
525226,435561,960787,829,4,CHANDIGARH,1922407,,,,,
93364,76394,169758,818,2,HIMACHAL PRADESH,340336,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
